ID,Name,Email,Age,JoinDate,Salary,Department,Remarks
50,Megan Smith,jake55@hotmail.com,43.0,2023-03-16,89947.21,HR,Average
51,Julie Nelson,nmartinez@long-brown.com,54.0,2021-10-21,118304.53,HR,
52,Dr. Joshua Lopez,yschultz@gmail.com,45.0,2021-11-18,86110.02,,Average
53,Scott Williams,randallmcclure@yahoo.com,40.0,2024-01-15,83945.78,Sales,
54,Anna Bowman,michael44@barry.biz,58.0,2023-10-20,67736.04,Engineering,Average
55,Samantha Reed,robinsonjerry@pope.com,52.0,2021-06-08,103257.3,Sales,
56,Stephanie Villa,charles82@mitchell-marshall.com,33.0,2023-12-15,59496.63,Finance,
57,Victoria Rosales,melissa94@yahoo.com,59.0,2020-10-23,82577.82,,
58,Jeffery Summers,oschmidt@peterson.org,55.0,2021-06-12,113733.56,Finance,Poor
59,Madeline Mcpherson,calhouncarl@yahoo.com,57.0,2023-05-19,114524.27,Finance,
60,Tyler Perry,wangjames@hotmail.com,18.0,2021-01-31,60540.62,,Good
61,Angela Stewart,vasquezbrandon@martinez.biz,58.0,2022-12-26,110435.73,HR,Poor
62,Julie Howard,oscar09@gmail.com,57.0,2021-10-30,101638.63,Sales,Poor
63,,noahjones@gmail.com,54.0,2025-03-24,71167.16,,Average
64,Felicia Tanner,timothy36@simpson.com,33.0,2021-12-07,106778.27,Engineering,Average
65,William Rhodes,joankane@gmail.com,45.0,2023-01-12,61046.45,,Poor
66,James York,maryolson@gardner-green.info,21.0,2023-06-01,46233.82,Finance,
67,Brian Stanley,roberthanson@beasley-evans.net,40.0,2022-08-01,74920.76,HR,Average
68,Shelby Dean,rosarioregina@schneider.com,36.0,2022-10-12,49594.86,Finance,Poor
69,Jessica Mcbride,tapiaallison@cortez-herman.com,55.0,2022-11-13,,HR,Poor
70,,barrettsteve@williams-mccoy.com,49.0,2025-06-04,104163.41,Finance,
71,Marc Solis,vphillips@phillips.com,40.0,2021-05-19,107628.5,,Good
72,Martin Perry,keith03@brown.net,69.0,2021-02-14,110690.15,Sales,Average
73,Wesley Adams,aaronrodriguez@hotmail.com,67.0,2024-07-08,76092.74,Engineering,
74,Yesenia Myers,smorris@mooney.com,29.0,2022-01-24,88303.85,Finance,Poor
75,Frank Hill,vmadden@hotmail.com,24.0,2023-10-07,101659.43,Engineering,Average
76,Michael Tran,maliknovak@ward-larsen.org,21.0,2020-07-17,73655.02,Finance,
77,Nicole Morgan,robertjones@lewis.net,,2021-09-02,32997.15,Sales,Good
78,Gabrielle Singh,rstrickland@miller.net,26.0,2023-07-25,63438.98,,Average
79,Christopher Wu,kyleclayton@yahoo.com,45.0,2020-11-27,58994.49,Sales,Good
80,Melissa Cabrera,chavezjessica@yahoo.com,30.0,2024-12-07,78455.77,,Average
81,David Roberts,melissabright@gonzalez.info,31.0,2023-01-16,107098.19,HR,
82,David Cole,chelseaphillips@yahoo.com,28.0,2022-05-08,71275.06,Sales,
83,Patricia Rodriguez,frowland@giles.com,48.0,2023-09-11,59461.94,Sales,Average
84,Michael Douglas,blairsarah@jones.info,48.0,2023-10-14,117580.93,,Poor
85,Paul Wagner,tiffanyklein@gmail.com,43.0,2022-05-19,52512.55,Finance,Good
86,Sean Myers,oanderson@hotmail.com,42.0,2022-10-09,117990.06,Sales,Good
87,Kimberly Jordan,daniel26@watson-baker.net,66.0,2024-06-30,114947.41,HR,Average
88,Bridget Berger,hpatrick@morris.com,59.0,2025-05-27,97003.09,Engineering,Good
89,Ernest Macdonald,leslie93@yahoo.com,40.0,2022-02-14,70669.89,HR,Good
90,Emily Fields,roliver@robles.biz,30.0,2023-01-15,,,
91,Alexander Garner,cboyd@martinez.com,33.0,2024-12-04,97786.25,HR,Good
92,Dana Howell,gcarlson@gmail.com,56.0,2021-10-13,62426.72,Sales,Good
93,Melissa Alvarez,lorijones@gmail.com,50.0,2021-04-07,49322.4,,Good
94,Anthony Alvarado,hughescristina@yahoo.com,28.0,2022-05-07,101019.73,Engineering,Average
95,Michael Gordon,imartinez@bradley.net,66.0,2023-03-16,111989.46,Engineering,Good
96,Cody Estrada MD,catherineerickson@hotmail.com,20.0,2023-02-06,79094.78,Sales,
97,William Figueroa,hking@smith-hull.info,32.0,2025-03-20,43004.09,Engineering,
98,Daniel Beasley,julie33@holmes.net,68.0,2022-08-28,37486.64,HR,Poor
99,Frank Zamora,ulong@yahoo.com,36.0,2024-04-14,101436.8,Finance,
100,Michael Miller,jennifer02@gmail.com,63.0,2023-03-10,75078.34,Sales,Good
101,Nicole Gutierrez,not_an_email,30.0,2024-02-12,,Finance,
102,Kevin Allen,not_an_email,31.0,2025-04-19,60015.13,Finance,Poor
103,Steven Reynolds,not_an_email,33.0,2024-10-25,81160.31,Engineering,
104,Hannah Martinez,not_an_email,41.0,2023-11-25,106059.82,Engineering,Good
105,Margaret Robinson,not_an_email,,2023-09-03,97421.38,HR,Average
106,Stacy Burch,not_an_email,51.0,2021-08-07,40762.49,HR,Average
107,Russell West,not_an_email,33.0,2021-01-14,108090.42,Engineering,Average
108,Brett Miller,not_an_email,39.0,2024-04-09,47725.3,,Average
109,Lynn Cook,not_an_email,38.0,2022-12-17,76795.11,Finance,Poor
110,Ashley Nunez,not_an_email,57.0,2024-12-31,117113.76,Sales,Poor
111,Nathan Roberts,not_an_email,52.0,2021-06-07,69621.74,HR,Good
112,Kim Ward,not_an_email,45.0,2022-02-05,30050.34,Sales,Good
113,Samantha Daniels,not_an_email,70.0,2025-05-25,105176.55,Engineering,Good
114,Mark Jones,not_an_email,20.0,2022-04-18,71666.21,Finance,Good
115,Marie Bowman,not_an_email,55.0,2024-07-22,62853.44,Sales,
116,Wendy Webster,not_an_email,36.0,2025-03-31,66217.35,Engineering,
117,Kimberly Franklin,not_an_email,49.0,2021-01-24,74824.08,Sales,
118,William Jones,not_an_email,27.0,2020-08-25,39248.07,HR,Average
119,Kelsey Escobar,not_an_email,52.0,2024-07-01,110400.84,,Good
120,John Hall,not_an_email,,2022-01-01,56729.19,Finance,Good
121,Eric Fleming,not_an_email,24.0,2023-08-23,83345.51,Sales,Poor
122,Yolanda Knight,not_an_email,29.0,2023-01-20,52612.95,HR,
123,Jason Allen,not_an_email,34.0,2025-04-08,32401.09,Sales,Good
124,Larry Lane,not_an_email,19.0,2022-07-24,90793.22,Finance,Good
125,Caleb Cunningham,not_an_email,30.0,2020-11-04,108320.01,Finance,Good
126,Matthew Sanford,not_an_email,44.0,2022-06-03,111246.55,Finance,
127,Patrick Morris,not_an_email,46.0,2023-09-16,107614.88,HR,
128,Timothy Johnson,not_an_email,57.0,2023-04-06,98183.35,Engineering,Poor
129,Michele Beasley,not_an_email,23.0,2021-09-08,53798.14,HR,
130,David Wood,not_an_email,57.0,2024-06-16,83147.82,Sales,Poor
131,Debra Haynes,not_an_email,48.0,2024-10-22,88395.89,Finance,
132,Heather Blevins,not_an_email,38.0,2022-01-17,31288.61,HR,Poor
133,Carolyn Harris,not_an_email,58.0,2023-01-13,109307.45,Sales,
134,Susan Khan,not_an_email,36.0,2024-12-11,44948.23,Sales,Average
135,Brittany Bates,not_an_email,59.0,2022-06-01,79535.07,Sales,Poor
136,Kim Rocha,not_an_email,25.0,2025-05-15,102159.01,Finance,
137,Katherine Malone,not_an_email,18.0,2025-01-24,113048.11,,Average
138,Lee Martin,not_an_email,63.0,2024-09-19,108316.31,Engineering,Average
139,Dorothy Wilson,not_an_email,55.0,2020-11-18,77012.46,Engineering,
140,Kelly Blanchard,not_an_email,28.0,2023-10-13,64075.18,Finance,Average
141,Heidi Bonilla,not_an_email,28.0,2022-11-18,97705.06,Sales,Average
142,David Gilmore,not_an_email,50.0,2021-06-22,34229.31,Sales,Good
143,Aaron Wright,not_an_email,40.0,2022-12-19,77124.19,Engineering,Average
144,Sandra Allen,not_an_email,49.0,2022-03-21,83720.31,,Poor
145,Maria Lewis,not_an_email,55.0,2021-03-29,118589.06,Sales,Average
146,Jennifer Colon,not_an_email,55.0,2023-12-30,35591.28,,Poor
147,Greg Hess,not_an_email,43.0,2023-03-12,102889.85,Engineering,Poor
148,Aaron Jennings,not_an_email,23.0,2022-02-10,117952.04,HR,Poor
149,Rachel Turner,not_an_email,35.0,2020-06-29,74975.99,Engineering,Good
150,Kathryn Shelton DDS,not_an_email,43.0,2024-10-22,112914.1,,Poor
151,Scott Reed,not_an_email,37.0,2021-10-22,31760.03,,Poor
152,Kristen Williams,dmartin@webb.com,56.0,2023-07-28,42648.74,,
153,Amy Moore,amendez@gmail.com,68.0,2020-08-23,95179.42,HR,
154,Jennifer Montgomery,markmurray@gmail.com,34.0,2022-05-09,75176.4,Sales,
155,Samantha Welch,hsmith@neal.net,66.0,2024-05-06,108757.03,Engineering,
156,Zachary Acosta,lindamorgan@gmail.com,43.0,2021-12-12,102558.8,,Good
157,Dylan Cervantes,yclark@morris-christensen.com,37.0,2020-09-12,92625.06,HR,Good
158,Mary Ponce,saundersjohn@gmail.com,59.0,2021-10-06,,HR,Poor
159,Nicolas Clark,brendanparker@hubbard-duke.com,24.0,2021-05-26,114185.03,Engineering,Average
160,Ronnie Hines,michael05@butler.com,26.0,2021-08-06,40170.55,,Good
161,Christina Hall,ajohnson@hotmail.com,64.0,2022-08-13,100439.98,Finance,
162,Rebecca Burns,ericksonapril@stone.com,34.0,2023-08-23,56060.53,Engineering,Average
163,Sharon Brooks,angela57@alexander.net,40.0,2023-08-10,67134.43,HR,
164,Meghan Acosta,rowen@hotmail.com,51.0,2022-08-05,49433.72,Finance,Good
165,Dawn Taylor,richardarnold@hotmail.com,39.0,2021-09-21,78336.71,Engineering,Good
166,Eric Martinez,loganmitchell@watkins.com,50.0,2025-05-04,83708.52,Engineering,Good
167,Jacob Powell,hendersonalex@yahoo.com,47.0,2022-07-25,77681.03,Finance,
168,Jeffrey Gonzales,bonnie91@hotmail.com,47.0,2021-10-21,,,Poor
169,Andrew Rose,williamschristopher@gmail.com,39.0,2023-07-31,33337.59,HR,Average
170,Natalie Garcia,jenniferbates@taylor-potter.com,64.0,2020-07-20,80289.92,Sales,Average
171,Maria Rogers,kanderson@calderon-davis.net,49.0,2025-04-09,92085.22,Finance,
172,Christopher Richardson,walter70@hamilton-luna.com,64.0,2024-04-01,,HR,Good
173,Edward Wood,dianesmith@smith.com,32.0,2023-04-01,69670.62,,Poor
174,Dwayne Cox,kgonzalez@smith.com,58.0,2025-03-22,51694.87,HR,Average
175,Brian Anderson,ryan14@gmail.com,41.0,2024-07-04,47534.44,Finance,Average
176,Pamela Morris,egomez@yahoo.com,66.0,2025-06-02,,HR,Poor
177,Mark Moore,jose88@hotmail.com,62.0,2024-12-09,58349.63,Finance,
178,George Perez,cjackson@davidson-matthews.net,20.0,2021-11-22,85732.03,Finance,Good
179,Denise Vargas,dustinschaefer@beard.com,42.0,2021-04-26,93845.84,Sales,Average
180,Jamie Perez,bobmurphy@johnson.net,53.0,2023-12-06,113237.3,Sales,
181,Heather Callahan,washingtonerin@allen.net,49.0,2020-07-21,114769.2,HR,Average
182,Angela Lee,xrodriguez@gmail.com,54.0,2021-02-28,99339.78,,
183,Phillip Kelley,rebecca17@ellison.biz,20.0,2022-05-16,70810.66,,Good
184,Heather Hunter,turnerdebra@hotmail.com,38.0,2023-12-26,87237.55,Engineering,Good
185,Gary Cooper,ecruz@gmail.com,34.0,2021-11-09,50033.09,,Average
186,William Welch,lhill@clark.com,30.0,2023-12-23,101178.66,HR,Average
187,Christy Garcia,cjackson@vargas.info,27.0,2023-10-28,70207.56,Finance,
188,Ashley Rodriguez,vanessabailey@gmail.com,38.0,2024-03-09,45861.27,Engineering,
189,David Ali,toddhahn@gmail.com,63.0,2025-03-03,95030.74,Finance,Good
190,Vanessa Collins,yorkmatthew@johnson.info,57.0,2024-02-09,38008.96,HR,Poor
191,Jason Bradford,melissabernard@williams.info,46.0,2023-09-27,111661.07,,Good
192,Theresa Hughes,thompsondavid@hotmail.com,40.0,2023-09-11,50216.91,,Good
193,Kimberly Morrison,misty97@moore-cooper.com,49.0,2022-10-13,85990.31,HR,
194,Nicole Keller,beth12@collins.biz,68.0,2021-12-31,105601.0,Engineering,Average
195,Jennifer Gross,caitlin37@yahoo.com,57.0,2024-10-21,75758.06,,
196,Kyle Hernandez,katiedrake@jordan.info,63.0,2024-01-18,76543.64,,
197,Christine Anderson,amberkoch@phillips.com,27.0,2020-10-10,78458.41,Sales,Good
198,Steven Collins,kathleen24@hotmail.com,63.0,2023-08-20,90092.29,,
199,Matthew Myers,tony24@hotmail.com,23.0,2021-12-24,52318.51,Sales,Poor
200,Deanna Gutierrez,rosaleslaurie@reynolds.com,24.0,2021-07-19,73886.53,,Poor
201,Ms. Beth Rodriguez DDS,andrealeon@yahoo.com,40.0,2022-03-06,-5000.0,Sales,Average
202,Brianna Taylor,brenda13@yahoo.com,29.0,2024-10-06,-5000.0,,
203,Veronica Price,tiffanymartin@flores.com,43.0,2023-07-28,-5000.0,Engineering,
204,Stephen Chang,devinweiss@sanchez.org,59.0,2025-05-07,-5000.0,Finance,
205,Jason Lyons,thompsoncynthia@yahoo.com,56.0,2023-02-04,-5000.0,HR,
206,Katherine Edwards,chrisdavis@yahoo.com,25.0,2021-01-10,-5000.0,,Average
207,Hannah Baldwin,john76@robbins.com,61.0,2023-11-23,-5000.0,Finance,Poor
208,Tony Myers,evanklein@gmail.com,46.0,2021-01-12,-5000.0,Finance,Average
209,Jenny Wood,haleheather@thomas.com,26.0,2023-01-25,-5000.0,HR,Poor
210,Molly Parker,fisherlisa@hotmail.com,69.0,2020-09-25,-5000.0,HR,Good
211,Jennifer Brown,nerickson@ferguson-warren.info,57.0,2022-11-10,-5000.0,Engineering,Average
212,Samuel Kaufman,rileybrandon@yahoo.com,47.0,2023-04-16,-5000.0,,
213,Ashley Edwards DDS,cperry@hotmail.com,53.0,2023-11-10,-5000.0,HR,Poor
214,Michelle Alvarez,pjones@hotmail.com,68.0,2020-12-02,-5000.0,Sales,
215,Rebecca Barnes,matthew34@yahoo.com,42.0,2023-08-10,-5000.0,,
216,John Collins,davidbrown@bishop.com,21.0,2024-06-09,-5000.0,,Poor
217,Kayla Barry,jbecker@gmail.com,23.0,2025-01-26,-5000.0,Engineering,Good
218,Christina Smith,berghelen@murray.biz,54.0,2020-06-23,-5000.0,HR,Poor
219,Derek Rodriguez,lauren19@gmail.com,55.0,2022-04-01,-5000.0,Engineering,Good
220,Stephanie Payne,austin38@le-blankenship.com,69.0,2022-05-17,-5000.0,Sales,
221,Kyle Brown,davidroberts@hotmail.com,65.0,2020-06-29,-5000.0,Sales,Good
222,Keith Vazquez,pattersoncynthia@brown.com,54.0,2024-09-12,-5000.0,,
223,Michael Bray,arthurho@gmail.com,53.0,2023-05-13,-5000.0,,
224,Julie Morrison,joshuasims@lang.org,64.0,2025-02-27,-5000.0,Engineering,Poor
225,Sharon Alvarez,jose45@yahoo.com,30.0,2023-07-06,-5000.0,Sales,Average
226,Brent Anderson,rachael02@yahoo.com,61.0,2022-03-29,-5000.0,Engineering,
227,Daniel Cruz,moniqueoliver@grant.com,69.0,2025-06-12,-5000.0,HR,Average
228,Brandon Diaz,bernardcarmen@walter.com,25.0,2023-11-01,-5000.0,Finance,Average
229,Amy Matthews,rebeccalong@yahoo.com,19.0,2024-10-28,-5000.0,Finance,
230,John Coleman,rachel68@gmail.com,69.0,2024-04-01,-5000.0,Sales,Average
231,Eric Baxter,robertmitchell@yahoo.com,69.0,2024-04-01,-5000.0,,Good
232,Mr. Ryan Kaufman,chandlerthomas@gmail.com,55.0,2022-02-07,-5000.0,,
233,Kimberly Ware,kathleen02@jones-mcgee.com,36.0,2024-05-04,-5000.0,HR,Poor
234,Shirley Robinson,zwood@jordan.com,46.0,2023-03-08,-5000.0,Engineering,
235,Derrick Boyd,xellis@yahoo.com,47.0,2021-05-19,-5000.0,,Good
236,Laura Bennett,benjaminfoster@newman.com,27.0,2024-10-27,-5000.0,Finance,Poor
237,Kylie Cox,brandysteele@hotmail.com,21.0,2023-02-07,-5000.0,,Poor
238,Emily Ford,alice56@hotmail.com,27.0,2024-08-08,-5000.0,,Poor
239,Diane Simpson,evan27@gmail.com,34.0,2025-01-03,-5000.0,HR,
240,Sabrina Cowan,cookjulie@smith.com,22.0,2024-01-19,-5000.0,HR,Poor
241,Joseph Cook,rfuller@wilson.com,39.0,2024-01-16,-5000.0,Sales,
242,Amanda Lutz,ycooper@yahoo.com,56.0,2024-03-23,-5000.0,Engineering,Poor
243,Pamela Brown,frose@hotmail.com,67.0,2024-07-17,-5000.0,Sales,
244,Olivia Howard,tadams@gmail.com,31.0,2021-04-16,-5000.0,Engineering,
245,Douglas Sandoval,nicoleparker@cummings.com,38.0,2022-07-12,-5000.0,HR,
246,Tara Adams,allisonbrown@baker-aguilar.com,49.0,2022-07-08,-5000.0,Finance,Poor
247,Rita Lewis,shawn67@ray-weber.net,36.0,2024-03-14,-5000.0,Finance,Average
248,Tammy Hall,zstafford@yahoo.com,49.0,2021-09-11,-5000.0,Finance,Poor
249,Lauren Hartman,timothyward@cunningham.com,28.0,2022-05-27,-5000.0,,Good
250,Kevin White,kristophergalloway@hotmail.com,70.0,2020-08-15,-5000.0,Engineering,
251,Jessica Roberts,catherinecarter@smith.net,51.0,2023-03-02,-5000.0,,
252,William Thompson,amanda59@yahoo.com,67.0,2024-06-15,,Finance,
253,Nicholas Taylor,edwardboyd@hotmail.com,68.0,2023-12-25,100390.05,Engineering,Poor
254,Andrew Miller,ksimmons@kim-ross.com,42.0,2021-09-29,76590.36,Engineering,Poor
255,Joshua Kelley,audrey93@larson.net,52.0,2020-09-29,85699.19,Sales,
256,Seth Sanchez III,lauren30@yahoo.com,59.0,2021-02-06,30180.08,HR,Average
257,Mitchell Hernandez,kjordan@cameron.com,19.0,2024-12-26,73808.18,HR,
258,Melissa Andrews,rwalters@yahoo.com,34.0,2024-03-03,107085.26,Finance,Average
259,Roberta Flores,ryanwhite@moore.com,20.0,2023-08-06,93867.71,Engineering,
260,Jeffery Meadows,simsjoshua@yahoo.com,46.0,2024-04-09,94500.64,Engineering,
261,,jeremy63@garcia.info,31.0,2021-04-20,94963.22,,
262,Brian Anderson,garrettshawna@collins-davidson.com,31.0,2024-03-28,55887.76,HR,Good
263,Allen Wilson,julia27@hotmail.com,31.0,2021-09-30,34396.79,,Good
264,Elizabeth Fletcher,brooksdarren@yahoo.com,21.0,2023-12-23,98809.12,,
265,Earl Ramirez,donald47@yahoo.com,55.0,2021-08-16,93758.79,Sales,Average
266,Jared Randolph,millererin@yahoo.com,29.0,2025-06-02,76294.2,HR,Good
267,Stephanie Fletcher,rmcintosh@gmail.com,38.0,2024-04-01,40409.24,Sales,Poor
268,Christopher Harmon,ophelps@yahoo.com,67.0,2024-03-13,30695.04,,Poor
269,Thomas Sherman,dianadavis@hotmail.com,18.0,2022-05-30,115641.02,Finance,
270,Natalie Williams,kathleenmorrison@gmail.com,59.0,2023-10-25,,,Average
271,Julie Stone,aaron02@yahoo.com,37.0,2021-02-25,86741.54,Finance,Average
272,Dale Cooper,amyspence@mitchell-yoder.com,32.0,2022-12-27,53638.93,Engineering,Poor
273,Christina Ramos,jose25@johnson.org,62.0,2021-08-22,107151.66,Engineering,
274,Scott Harris,qnielsen@gmail.com,41.0,2022-04-27,119371.25,Engineering,
275,Jacob Turner,denise07@hotmail.com,35.0,2024-01-20,40319.91,HR,Average
276,Joseph Montoya,rjohnson@small-hale.com,19.0,2023-03-01,45104.81,,Average
277,William Thomas,travishart@baker.org,59.0,2022-05-15,82155.08,HR,
278,Mackenzie Henderson,kiaramurray@harris-ryan.info,40.0,2023-11-01,40621.39,,Good
279,Mark Rodriguez,douglasmathis@gmail.com,61.0,2024-10-01,49755.69,HR,Poor
280,Evan Jones,corypierce@yahoo.com,30.0,2022-05-09,49376.63,Sales,
281,Kayla Wall,ryanfoster@tanner.com,20.0,2020-11-28,30906.93,HR,Good
282,Amy Carter,andrewwilliams@moody.biz,25.0,2023-05-03,51569.71,Sales,
283,Victoria Gutierrez,tammiecastillo@hotmail.com,38.0,2022-03-03,96129.47,Finance,Poor
284,Howard Garcia,heather11@yahoo.com,67.0,2025-05-27,67480.86,HR,Average
285,Chelsea Haley,janet94@cooper.com,35.0,2022-09-22,114864.14,Sales,Good
286,Kristina Neal,holtyolanda@gardner.com,47.0,2023-06-05,61439.18,Sales,Good
287,Jennifer Cantrell,sarageorge@hotmail.com,63.0,2024-12-04,95821.47,,
288,Gary Jensen,nelsonpamela@hotmail.com,60.0,2021-05-07,49495.24,HR,Good
289,Lawrence Oneal,russell71@mendez.com,33.0,2021-09-21,51556.1,HR,Average
290,Jake White,ebonyspears@schmidt.com,66.0,2020-12-07,82411.33,Engineering,Average
291,Adam Johnson,hhunt@hotmail.com,57.0,2023-11-27,74567.05,HR,
292,Benjamin Davila,wjohnson@yahoo.com,54.0,2024-11-13,43491.8,,Poor
293,Samantha Velez,unknown,70.0,2024-12-29,100073.32,,
294,Lori Allen,jparker@flores.com,32.0,2023-10-05,105049.39,Engineering,
295,Perry Brady,carlfranco@gmail.com,54.0,2020-08-27,99319.56,Finance,Average
296,Cindy Fox,anthony27@yahoo.com,53.0,2022-11-19,88771.76,,Average
297,Theresa Black,maureenlucas@gmail.com,38.0,2025-06-01,102119.87,HR,
298,Jared Contreras,donaldcannon@gmail.com,44.0,2024-09-28,49811.92,Engineering,Poor
299,Elizabeth Obrien,christiancarr@yahoo.com,70.0,2023-12-06,99037.92,,
300,Tonya Parks,cunninghamshawn@meza-kelley.com,38.0,2023-09-01,117192.06,Engineering,
301,Belinda Soto,cherylwiley@gmail.com,150.0,2021-06-06,66319.15,Finance,Poor
302,Joseph Powell,molly86@gmail.com,150.0,2024-11-13,66570.39,Sales,Poor
303,Patricia Flores,zware@lynch.com,150.0,2024-08-18,98960.96,Engineering,Poor
304,Ronald Johnson,isanchez@hotmail.com,150.0,2020-07-06,69393.84,,
305,Robert Daniel,nfoster@lynn.biz,150.0,2021-01-13,30181.6,HR,
306,Steven Jackson,rthompson@yahoo.com,150.0,2023-11-23,107478.28,Sales,
307,Daniel Kramer,schneiderkimberly@yahoo.com,150.0,2021-05-03,94388.24,HR,Poor
308,William Diaz,david39@hotmail.com,150.0,2023-05-22,91894.34,Sales,Average
309,Valerie Wilson,mcintyremarissa@hotmail.com,150.0,2020-10-06,,HR,Average
310,Antonio Kline,elizabeth97@mendez-torres.net,150.0,2022-09-25,45436.79,HR,Poor
311,Sharon Cardenas,kelseyvaldez@garcia.com,150.0,2022-07-14,81875.82,Finance,Good
312,Christopher Best,brittneysalazar@yahoo.com,150.0,2023-11-16,,Sales,
313,Elizabeth Tate,johnkennedy@gilmore.net,150.0,2022-07-21,119446.73,Engineering,Good
314,Anthony Smith,nallison@yahoo.com,150.0,2022-12-05,95687.69,,
315,Lisa Chavez,rivaslisa@roberson-haynes.com,150.0,2021-08-17,43048.88,HR,
316,Andrew Martinez,xmarks@edwards-castaneda.biz,150.0,2023-10-11,117346.67,Finance,Poor
317,Stephanie Ortiz,reginald00@anderson.com,150.0,2022-02-22,78592.42,Engineering,Good
318,Erica Ortega,amberhunter@yahoo.com,150.0,2024-06-19,49457.07,,Good
319,Cassandra Mann,christine78@farrell.biz,150.0,2025-04-12,53460.74,,Good
320,Joshua Jordan,samanthasweeney@campbell-snyder.org,150.0,2025-04-30,68606.98,,Poor
